source,headline,pubDate,date,headline_length,Open,High,Low,Close,Volume,is_trading_day
MarketWatch,‘I’m on a fixed budget’: Silver and gold are now too expensive for me. What else can I gift my infant grandchildren?,2026-01-01 13:30:00+00:00,2026-01-01,116,,,,,,False
MarketWatch,‘We never want to think our children would strip us of all our money’: Is it safe to give my kids my Social Security number?,2026-01-01 13:00:00+00:00,2026-01-01,124,,,,,,False
MarketWatch,‘He has become hostile’: My mom is in her 80s and has dementia. My brother is blocking access.,2026-01-01 12:00:00+00:00,2026-01-01,94,,,,,,False
MarketWatch,20 stocks in the S&P 500 that gained the most in 2025,2026-01-01 11:29:00+00:00,2026-01-01,53,,,,,,False
MarketWatch,I’m afraid my financial adviser will steal my money. I’ve read too many cautionary tales. How can I be sure?,2026-01-01 10:45:00+00:00,2026-01-01,108,,,,,,False
MarketWatch,Is the Times Square New Year’s Eve ball drop on your bucket list? Here’s why life goals like that aren’t worth the time or money.,2026-01-01 03:27:00+00:00,2026-01-01,129,,,,,,False
MarketWatch,‘I’m fed up’: My selfish mother-in-law has controlled me for 30 years. How can I regain my power?,2026-01-01 00:21:00+00:00,2026-01-01,97,,,,,,False
MarketWatch,Here are 5 key charts that defined a wild year for global financial markets,2026-01-01 00:19:00+00:00,2026-01-01,75,,,,,,False
MarketWatch,‘So much for holiday cheer’: I saw a guest take a bottle of wine as they left a Christmas party. Do I tell the host?,2025-12-31 22:45:00+00:00,2025-12-31,116,189.57000732421875,190.55999755859375,186.49000549316406,186.5,119731600.0,True
MarketWatch,‘I completely trust her’: Should I name my daughter as beneficiary on all my accounts — or add her name instead?,2025-12-31 22:15:00+00:00,2025-12-31,112,189.57000732421875,190.55999755859375,186.49000549316406,186.5,119731600.0,True
