Open,High,Low,Close,Volume,date
184.97000122070312,185.47999572753906,182.0399932861328,183.77999877929688,162785400,2025-12-10
180.27999877929688,181.32000732421875,176.6199951171875,180.92999267578125,182136600,2025-12-11
181.11000061035156,182.82000732421875,174.6199951171875,175.02000427246094,204274900,2025-12-12
177.94000244140625,178.4199981689453,175.02999877929688,176.2899932861328,164775600,2025-12-15
176.25999450683594,178.49000549316406,174.89999389648438,177.72000122070312,148588100,2025-12-16
176.10000610351562,176.1300048828125,170.30999755859375,170.94000244140625,222775500,2025-12-17
174.52999877929688,176.14999389648438,171.82000732421875,174.13999938964844,176096000,2025-12-18
176.6699981689453,181.4499969482422,176.33999633789062,180.99000549316406,324925900,2025-12-19
183.9199981689453,184.16000366210938,182.35000610351562,183.69000244140625,129064400,2025-12-22
182.97000122070312,189.3300018310547,182.89999389648438,189.2100067138672,174873600,2025-12-23
187.94000244140625,188.91000366210938,186.58999633789062,188.61000061035156,65528500,2025-12-24
189.9199981689453,192.69000244140625,188.0,190.52999877929688,139740300,2025-12-26
187.7100067138672,188.75999450683594,185.91000366210938,188.22000122070312,120006100,2025-12-29
188.24000549316406,188.99000549316406,186.92999267578125,187.5399932861328,97687300,2025-12-30
189.57000732421875,190.55999755859375,186.49000549316406,186.5,119731600,2025-12-31
